site_id,code_national_ea,numero_ea,identification_ea_brute,commune,adresse_ou_nom_lieu,pays,longitude,latitude,x_l93,y_l93,periode,sous_periode,type_site,confiance,source,notes_parsing
PATRIARCHE-18525,18525,67 021 0015,8525 / 67 021 0015 / BARR /  / 77 avenue des Vosges / voie / Age du bronze - Age du fer,BARR,,FR,7.45969024687103,48.406320375495916,1029876.0,6821099.0,indéterminé,indéterminé,voie,faible,Patriarche_EA_ageFer_20250806,lieu_dit=77 avenue des Vosges; chrono_brut=Age du bronze - Age du fer; type_brut=voie; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-18531,18531,67 021 0021,8531 / 67 021 0021 / BARR /  / Kienberg / Age du bronze - Age du fer / objet métallique,BARR,,FR,7.45969024687103,48.406320375495916,1029876.0,6821099.0,indéterminé,indéterminé,dépôt,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Kienberg; chrono_brut=Age du bronze - Age du fer; type_brut=objet métallique; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-18675,18675,67 021 0023,8675 / 67 021 0023 / BARR /  / Buhl / occupation / Age du bronze - Age du fer,BARR,,FR,7.45969024687103,48.406320375495916,1029876.0,6821099.0,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Buhl; chrono_brut=Age du bronze - Age du fer; type_brut=occupation; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-112976,112976,67 023 0007,12976 / 67 023 0007 / BATZENDORF /  / Rue Prinipale / RD 139 / habitat / Age du bronze - Age du fer,BATZENDORF,,FR,7.706451,48.782534,1045616.0661728214,6863907.830407721,indéterminé,indéterminé,indéterminé,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=Rue Prinipale; chrono_brut=Age du bronze - Age du fer; type_brut=RD 139; georef=ban_municipality;precision=centroïde
PATRIARCHE-143,143,67 028 0001,43 / 67 028 0001 / BENFELD / EHL-BENFELD /  / cimetière / habitat / Age du bronze - Age du fer,Benfeld,EHL-BENFELD,FR,7.596570999999998,48.37933600000001,1040164.0785657526,6818685.306548833,indéterminé,indéterminé,nécropole,faible,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=cimetière; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-18280,18280,67 028 0019,8280 / 67 028 0019 / BENFELD / / BEI EHL / tumulus / Age du bronze - Age du fer,Benfeld,,FR,7.596570999999998,48.37933600000001,1040164.0785657526,6818685.306548833,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=tumulus; chrono_brut=Age du bronze - Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-18281,18281,67 028 0020,8281 / 67 028 0020 / BENFELD / / RUE DU CHATELET / habitat / Age du bronze - Age du fer,Benfeld,,FR,7.596570999999998,48.37933600000001,1040164.0785657526,6818685.306548833,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=habitat; chrono_brut=Age du bronze - Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-111907,111907,67 033 0011,"11907 / 67 033 0011 / BERNOLSHEIM / PDA /  / Age du fer / fosse, incinération, inhumation",BERNOLSHEIM,PDA,FR,7.671719000000001,48.752454,1043266.2822232336,6860417.739743637,indéterminé,indéterminé,nécropole,faible,Patriarche_EA_ageFer_20250806,"chrono_brut=Age du fer; type_brut=fosse, incinération, inhumation; georef=sites_csv_commune_mean;precision=commune"
PATRIARCHE-111681,111681,67 034 0018,"11681 / 67 034 0018 / BERSTETT /  / Klaemmel / Age du fer / fosse, silo",BERSTETT,,FR,7.6843790000000025,48.66962400000001,1044741.4192805585,6851279.942705283,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,"lieu_dit=Klaemmel; chrono_brut=Age du fer; type_brut=fosse, silo; georef=sites_csv_commune_mean;precision=commune"
PATRIARCHE-110276,110276,67 035 0001,10276 / 67 035 0001 / BERSTHEIM /  / Froehn / sépulture / Age du fer,BERSTHEIM,,FR,7.674855,48.790991,1043242.9115024512,6864708.6698053675,indéterminé,indéterminé,nécropole,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=Froehn; chrono_brut=Age du fer; type_brut=sépulture; georef=ban_municipality;precision=centroïde
PATRIARCHE-1236,1236,67 038 0006,236 / 67 038 0006 / BIETLENHEIM /  / MEISSENHUTT / occupation / Age du bronze - Age du fer,BIETLENHEIM,,FR,7.783209,48.71889,1051674.2998131234,6857183.279233976,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=MEISSENHUTT; chrono_brut=Age du bronze - Age du fer; type_brut=occupation; georef=ban_municipality;precision=centroïde
