Département,Site,Lieu dit,X(L93),Y(L93),Année fouille,N° structure,N° individu,Type de silo,Nord-Ouest/Sud-Est,Nord-Est/Sud-Ouest,Nord/Sud,Est/Ouest,Indéterminée,Remarque,Tête au Nord,Tête au Nord-Est,Tête au Nord-Ouest,Tête au Sud,Tête au Sud-Est,Tête au Sud-Ouest,Tête à l'Est,Tête à l'Ouest,Tête indéterminé,Fond,Sur le premier dôme,Sommet,Indéterminée.1,Homme,Femme,Indéterminé,Périnatal (1-6 mois),Enfant (6 mois-9 ans),Adolescent (10-19 ans),Adulte jeune (20-30 ans),Adulte mature (30-59 ans),Adulte âgé (plus de 59 ans),Indéterminé.1,Précision âge,Arthrose,Tassement vetébral,Ostéoporose,Usure dentaire importante,Atteintes dentaires,Pertes dentaires,Agénésie dentaire,Parodontose,Enthésopathie,Facettes d'accroupissement,Processus de Stieda,Pathologies articulaires et périarticulaires,Scoliose,Asymétrie des os longs,Lésions traumatiques,Lésions infectieuses,Hypoplasies dentaires (stress biologique pendant l'enfance),Cribra orbitalia (stress biologique),Ostéochondrite disséquante,Spina bifida occulta,Vertèbres lombaires avec ostéophytes,Aucune,Pas de données,Remarque.1,sur le dos,sur le côté,sur le ventre,Assis,Indéterminée.2,Membres inférieurs fléchis,Membres supérieurs fléchis,Position du squelette,Espace vide,Espace colmaté,Enveloppe textile souple,Indéterminé.2,Remarques,Réinterventions,Présence de parure,Absence de parure,Bracelet,Anneau de chevile,Fibule,Bague,Torque,Agrafe de ceinture,boucle d'oreille,Dépôt de faune,Datation absolue,num datation (code labo),âge radiocarbone,14C (2 sigma),Datation relative,biblio,notes_datation,x_l93,y_l93,has_coords,coord_flag,pays,commune,nom_site,type_site,periode_key,sous_periode,datation_debut,datation_fin,periode,longitude,latitude,lieu_dit_norm,commune_norm,agg_key,site_id_resolved
67,Breuschwickersheim,Vogelsgesang,1038289,6841523,2018,2103,1,Tronconique,,,,1,,,,,,,,,1,,,,,,1,,1,,,,,,,,,>40,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,"squelette sur le ventre, les bras fléchis, le bras gauche sous le thorax",1,,,,,,1,,1,,1,,,,,,,Poz-117740,2245  ± 30 BP,381-231,LT B1-C1,"RUZZU (F.) dir. — Breuschwickersheim, Bas-Rhin, Vogelsgesang, Grand Est : A355 - Contournement Ouest de Strasbourg Tronçon 2- site 2-9 : rapport de fouille. Chaponnay : Archeodunum, 2021. 1178 p.",,1038289.0,6841523.0,True,,FR,Breuschwickersheim,Breuschwickersheim - Vogelsgesang,nécropole,LA_TENE,LT B1,-380.0,-200.0,La Tène,7.58920582003619,48.58541786677097,vogelsgesang,breuschwickersheim,breuschwickersheim|vogelsgesang|1038300|6841500,SITE-33b762013e0955ae
68,Colmar,Les Aubépines,1023863,6782512,2007,153,1,Bouteille,,,1,,,,,,,,,1,,,,,1,,,,,1,,,1,,,,,10-14 ans,,,,,,,,,,,,,,,1,,,,,,,,,Probable perforation d'une vertèbre cervicale,1,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,773-417 avant J.-C.,LT B,"ROTH-ZEHNER (M.) dir. — Colmar, Jardins des Aubépines, Alsace, Haut-Rhin (68) : rapport de fouille. Habsheim : Antéa Archéologie, 2008. 167 p.",,1023863.0,6782512.0,True,,FR,Colmar,Colmar - Les Aubépines,nécropole,LA_TENE,LT B,-380.0,-260.0,La Tène,7.349857442492818,48.06268316517148,les aubepines,colmar,colmar|les aubepines|1023850|6782500,SITE-4abac10f6edd6060
68,Colmar,Les Aubépines,1023863,6782512,2007,153,2,Bouteille,,,1,,,,,,,,,1,,,,,1,,,,1,,,,,,,1,,≥ 50 ans,,,,1,,1,,,,,,1,,,1,1,,,,,,,,"Anciennes fractures du métacarpien et de la clavicule
Abcès de l'os alvéolaire
Pont osseux intervertébral",1,,,,,,,,,1,1,,,,1,,,,1,,,,,,1,Poz-32427,2485 ± 35 BP,773-417 avant J.-C.,LT B,"ROTH-ZEHNER (M.) dir. — Colmar, Jardins des Aubépines, Alsace, Haut-Rhin (68) : rapport de fouille. Habsheim : Antéa Archéologie, 2008. 167 p.",,1023863.0,6782512.0,True,,FR,Colmar,Colmar - Les Aubépines,nécropole,LA_TENE,LT B,-380.0,-260.0,La Tène,7.349857442492818,48.06268316517148,les aubepines,colmar,colmar|les aubepines|1023850|6782500,SITE-4abac10f6edd6060
68,Colmar,Les Aubépines,1023863,6782512,2007,201,X,Fond de fosse,,,1,,,?,1,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,Entorse du fibula,,,,,1,,,,,1,,,,,,1,,,,,,,,,,Poz-32428,2570 ± 40 BP,811-547 avant J.-C.,LT B,"ROTH-ZEHNER (M.) dir. — Colmar, Jardins des Aubépines, Alsace, Haut-Rhin (68) : rapport de fouille. Habsheim : Antéa Archéologie, 2008. 167 p.",,1023863.0,6782512.0,True,,FR,Colmar,Colmar - Les Aubépines,nécropole,LA_TENE,LT B,-380.0,-260.0,La Tène,7.349857442492818,48.06268316517148,les aubepines,colmar,colmar|les aubepines|1023850|6782500,SITE-4abac10f6edd6060
68,Colmar,Les Aubépines,1023863,6782512,2007,239,X,Cylindrique,1,,,,,,,,1,,,,,,,1,,,,1,,,,,,,1,,,> 60 ans,1,,,1,,1,,,,,,,,,,1,,,,,,,,Périostite des tibia et fibula droit probablement lié à traumatisme,1,,,,,,,,1,,1,,,1,1,,,,1,,,,,,1,Poz-32431,2395 ± 35 BP,739-393 avant J.-C.,LT B,"ROTH-ZEHNER (M.) dir. — Colmar, Jardins des Aubépines, Alsace, Haut-Rhin (68) : rapport de fouille. Habsheim : Antéa Archéologie, 2008. 167 p.",,1023863.0,6782512.0,True,,FR,Colmar,Colmar - Les Aubépines,nécropole,LA_TENE,LT B,-380.0,-260.0,La Tène,7.349857442492818,48.06268316517148,les aubepines,colmar,colmar|les aubepines|1023850|6782500,SITE-4abac10f6edd6060
68,Colmar,Les Aubépines,1023863,6782512,2007,320,X,Fond de fosse,,,,,1,,,,,,,,,,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,Poz-32432,3115 ± 35 BP,1492-1279 avant J.-C.,LT B,"ROTH-ZEHNER (M.) dir. — Colmar, Jardins des Aubépines, Alsace, Haut-Rhin (68) : rapport de fouille. Habsheim : Antéa Archéologie, 2008. 167 p.",,1023863.0,6782512.0,True,,FR,Colmar,Colmar - Les Aubépines,nécropole,LA_TENE,LT B,-380.0,-260.0,La Tène,7.349857442492818,48.06268316517148,les aubepines,colmar,colmar|les aubepines|1023850|6782500,SITE-4abac10f6edd6060
68,Colmar,Les Aubépines,1023863,6782512,2007,330,X,Tronconique,,1,,,,,,,,,,1,,,,,1,,,1,,,,,,,1,,,30-39 ans,,,,,,,,,,,,1,,,,,1,,,,,,,Pont osseux intervertébral,,,1,,,,,,1,,1,,,1,,1,,,,,,,,,1,Poz-32433,2560 ± 35,806-547avant J.-C.,LT B,"ROTH-ZEHNER (M.) dir. — Colmar, Jardins des Aubépines, Alsace, Haut-Rhin (68) : rapport de fouille. Habsheim : Antéa Archéologie, 2008. 167 p.",,1023863.0,6782512.0,True,,FR,Colmar,Colmar - Les Aubépines,nécropole,LA_TENE,LT B,-380.0,-260.0,La Tène,7.349857442492818,48.06268316517148,les aubepines,colmar,colmar|les aubepines|1023850|6782500,SITE-4abac10f6edd6060
68,Colmar,Les Aubépines,1023863,6782512,2007,336,X,Tronconique,,,,1,,,,,,,,,,1,,1,,,,,1,,,,,1,,,,15-25 ans,,,,,1,,,,,,,,,,,1,,1,,,,,,Porosité importante du sternum et de la colonne,1,,,,,,,,,1,,,,,1,,1,,,,,,,,,Poz-32434,2430 ± 35,751-404 avant J.-C.,LT B,"ROTH-ZEHNER (M.) dir. — Colmar, Jardins des Aubépines, Alsace, Haut-Rhin (68) : rapport de fouille. Habsheim : Antéa Archéologie, 2008. 167 p.",,1023863.0,6782512.0,True,,FR,Colmar,Colmar - Les Aubépines,nécropole,LA_TENE,LT B,-380.0,-260.0,La Tène,7.349857442492818,48.06268316517148,les aubepines,colmar,colmar|les aubepines|1023850|6782500,SITE-4abac10f6edd6060
68,Colmar,Les Aubépines,1023863,6782512,2007,339,X,Bouteille,,1,,,,,,,,,1,,,,,,1,,,,,1,1,,,,,,,0-3 mois,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,1,,,,,,,,1,1,Poz-32435,2365 ± 35,721-383 avant J.-C.,LT B,"ROTH-ZEHNER (M.) dir. — Colmar, Jardins des Aubépines, Alsace, Haut-Rhin (68) : rapport de fouille. Habsheim : Antéa Archéologie, 2008. 167 p.",,1023863.0,6782512.0,True,,FR,Colmar,Colmar - Les Aubépines,nécropole,LA_TENE,LT B,-380.0,-260.0,La Tène,7.349857442492818,48.06268316517148,les aubepines,colmar,colmar|les aubepines|1023850|6782500,SITE-4abac10f6edd6060
68,Colmar,Les Aubépines,1023863,6782512,2007,363,X,Tronconique,,,1,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,≥ 50 ans,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,1,2,,,,,,,1,Poz-32436,2530 ± 35,798-539 avant J.-C.,LT B,"ROTH-ZEHNER (M.) dir. — Colmar, Jardins des Aubépines, Alsace, Haut-Rhin (68) : rapport de fouille. Habsheim : Antéa Archéologie, 2008. 167 p.",,1023863.0,6782512.0,True,,FR,Colmar,Colmar - Les Aubépines,nécropole,LA_TENE,LT B,-380.0,-260.0,La Tène,7.349857442492818,48.06268316517148,les aubepines,colmar,colmar|les aubepines|1023850|6782500,SITE-4abac10f6edd6060
67,Dachstein,Geist,1033692,6838638,1959,X,X,Bouteille,1,,,,,,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,,1,Localisation imprécise (centroïde commune),,1,,2,,1,,,,,,,,,,LT A-B,"STIEBER (A.) — Une sépulture à squelette replié de La Tène à Dachstein. Cahiers alsaciens d’archéologie, d’art et d’histoire, 6, 1962, p. 47‑53.",,1033692.0,6838638.0,True,,FR,Dachstein,Dachstein - Geist,nécropole,LA_TENE,LT A,-450.0,-380.0,La Tène,7.524740425416764,48.561894491573966,geist,dachstein,dachstein|geist|1033700|6838650,SITE-db0ec854bc1b74ac
68,Didenheim,Kahlberg,1022216,6744716,2011,13,1,Tronconique,,,1,,,,,,,1,,,,,,,1,,,1,,,,,,,1,,,≥ 40 ans,1,,,1,,,,,,,,,,,1,,,,,,,,,fracture consolidée calvicule gauche,1,,,,,,,"allongé sur le dos comme en position assise, les membres inférieurs fléchis et surélevés",,1,,,,,,1,,,,,,,,?,1,Poz-34907;Poz-34908;Poz-34908,2427 ± 18,756-389 avnt J.-C.,Ha D3/LTA,"DENAIRE (A.) dir. — Didenheim (Alsace, Haut-Rhin) « ZAC Espace / Kahlberg » : un nouveau site du Néolithique récent, de l’âge du Bronze (RSFO) et du premier âge du Fer : rapport de fouille. Habsheim : Antéa Archéologie, 2011. 151 p.","datation effectuée part la combinaison de trois dates radiocarbones : une sur chacun des individus, une autre sur un os de faune ; présence d'un lagomorphe (lapin ou lièvre) ; sa qualité de dépôt n'est pas établie",1022216.0,6744716.0,True,,FR,Didenheim,Didenheim - Kahlberg,nécropole,TRANSITION,Ha D3 / LT A,-500.0,-400.0,Transition,7.300162459348409,47.72385267483919,kahlberg,didenheim,didenheim|kahlberg|1022200|6744700,SITE-633f31d70e73e834
68,Didenheim,Kahlberg,1022216,6744716,2011,13,2,Tronconique,,,,1,,,,,,,,,1,,,,1,,,1,,,,,,,1,,,30-49 ans,1,1,1,,,,,,,,,,,,1,,,,,,1,,,"perforation du processus xiphoïde, 5e côte gauche bifide, 3e trochanter (fémur droit) et ossification partielle du ligament suprascapulaire",,,1,,,,,jambes et avant-bras croisés,,1,,,,,,1,,,,,,,,,1,Poz-34907;Poz-34908;Poz-34908,2427 ± 18,756-389 avnt J.-C.,Ha D3/LTA,"DENAIRE (A.) dir. — Didenheim (Alsace, Haut-Rhin) « ZAC Espace / Kahlberg » : un nouveau site du Néolithique récent, de l’âge du Bronze (RSFO) et du premier âge du Fer : rapport de fouille. Habsheim : Antéa Archéologie, 2011. 151 p.","datation effectuée part la combinaison de troi sdates radiocarbones : une sur chacun des individus, une autre sur un os de faune ; présence d'un lagomorphe (lapin ou lièvre) ; sa qualité de dépôt n'est pas établie",1022216.0,6744716.0,True,,FR,Didenheim,Didenheim - Kahlberg,nécropole,TRANSITION,Ha D3 / LT A,-500.0,-400.0,Transition,7.300162459348409,47.72385267483919,kahlberg,didenheim,didenheim|kahlberg|1022200|6744700,SITE-633f31d70e73e834
67,Dingsheim,Haspelacker - COS 4.1,1041952,6846403,2018,479,1,fond de fosse,,,,,1,squelette complètement disloqué,,,,,,,,,1,,,1,,,,1,,1,,,,,,1/4 ans,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,indéterminée : squelette bien représenté mais disloqué - dépôt primaire non certain,,,,1,difficile de certifier qu'il s'agit d'un dépôt primaire,,,1,,,,,,,,,,Poz-133584,2910 ± 30,1211-1012 avant J.-C.,Bronze final ,"HABASQUE-SUDOUR (A.) dir. — Dingsheim « Haspelacker », Stutzheim « Aufs Dingsheimer Feld » Bas-Rhin : Occupations variées et multiphasées: de rares indices du Pléistocène, des occupations domestiques du Néolithique ancien au Néolithique final, de l’âge du Bronze, du Hallstatt ancien et moyen, un ensemble funéraire hallstattien, des établissements ruraux de La Tène finale et de la période romaine : rapport de fouille. Sélestat : Archéologie Alsace, 2021.",,1041952.0,6846403.0,True,,FR,Dingsheim,Dingsheim - Haspelacker - COS 4.1,nécropole,INDETERMINE,,,,indéterminé,7.642672008822198,48.627314174220366,haspelacker cos 4 1,dingsheim,dingsheim|haspelacker cos 4 1|1041950|6846400,SITE-af6ac60905da16ea
67,Duntzenheim,"Rainwasen, LGV 8-4",1035064,6855731,2009,1063,X,tronconique, , , ,1, , , , , , , , , ,1, ,1, , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,"Sur le dos, jambes basculéees à droite, bras droit remonté sur la poitrine, devant la tête",1, , , ,espace vide mais protégé (couvercle), , ,1, , , , , , , , ,1,Poz-48399,2230 ± 30 BP,387-204 avant J.-C.,LT B1-C1,"VÉBER (C.), FÉLIU (C.) dir. — Duntzenheim, Bas-Rhin, Rainwasen, Langgasse, Frauenabwand, Ebenheit, LGV EE, site 8-4 : deux occupations du Néolithique moyen, des fosses Grossgartach ; une enceinte Bischheim / Bruebach-Oberbergen ; un silo du Néolithique récent, Munzingen ; des silos de La Tène A ; un fossé en agrafe et des cabanes semi-enterrées de La Tène finale : rapport de fouille préventive. Dijon : Inrap GES, 2017.",,1035064.0,6855731.0,True,,FR,Duntzenheim,"Duntzenheim - Rainwasen, LGV 8-4",nécropole,LA_TENE,LT B1,-380.0,-200.0,La Tène,7.556663331091372,48.71468102176006,rainwasen lgv 8 4,duntzenheim,duntzenheim|rainwasen lgv 8 4|1035050|6855750,SITE-f4c3e027dac95710
68,Eguisheim,Rte d'Herrlisheim,1021102,6779910,2020,????,1,Tronconique,1,,,,,"squel. perturbé, 
associé à plusieurs animaux",,,,,1,,,,,,1,,,1,,,,,,,1,,,>40,1,,,,1,,,,1,,,,,,,,,,,,,,,lésion tumorale bénigne fémur D,1,,,,,1,1,"sur le dos, membres inf et sup. G en 
extension, membre sup D indét. 
repose directement sur les ossements animaux",1,1,,,espace mixte : comblement non homogène du dépôt ?,1,,1,,,,,,,,1,,CIRAM-3225,2108 ± 31 BP,200-44 av. J.C,LT C2-D2,,,1021102.0,6779910.0,True,,FR,Eguisheim,Eguisheim - Rte d'Herrlisheim,nécropole,LA_TENE,LT C2,-200.0,-25.0,La Tène,7.310941908740984,48.040665349862415,rte d herrlisheim,eguisheim,eguisheim|rte d herrlisheim|1021100|6779900,SITE-5515996d05b94129
67,Entzheim,Aéroparc-Lidl,1043713,6837098,2007,1164,X,Tronconique,1,,,,,,,,1,,,,,,,,1,,,,,1,,1,,,,,,18 mois,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,1,,,,,,1,,,,,,,,,1,,2470 ± 35,770-410 avant J.-C.,Ha D3/LT A1,"LANDOLT (M.) dir. — Entzheim-Geispolsheim (Alsace, Bas-Rhin), aéroparc (LIDL-CUS) : rapport de fouille préventive. Sélestat : PAIR, 2007. 5 vol., 1565 p.",,1043713.0,6837098.0,True,,FR,Entzheim,Entzheim - Aéroparc-Lidl,nécropole,TRANSITION,Ha D3 / LT A,-500.0,-400.0,Transition,7.659080153071918,48.54282555299816,aeroparc lidl,entzheim,entzheim|aeroparc lidl|1043700|6837100,SITE-199c449d850d698e
