info SITE;Unnamed: 1;Unnamed: 2;REMARQUES GENERALES;NMI / TYPE DEPOT;Unnamed: 5;Unnamed: 6;Unnamed: 7;MONUMENT (enclos fossoyé);Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;MONUMENT (tumulus avéré);Unnamed: 14;Unnamed: 15;Unnamed: 16;FOSSE;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;AMENAGEMENT / CONTENANT;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;MOBILIER ASSOCIÉ AU DÉFUNT (PORTÉ);Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;DÉPÔTS d'OFFRANDE;Unnamed: 36;Unnamed: 37;Unnamed: 38;Unnamed: 39;AUTRE;REINTERVENTIONS ANTHROPIQUES;Unnamed: 42;Unnamed: 43;Unnamed: 44;Unnamed: 45;Unnamed: 46;MODALITE DEPÔT;Unnamed: 48;Unnamed: 49;Unnamed: 50;BIO;Unnamed: 52;Unnamed: 53;Unnamed: 54;Unnamed: 55;Unnamed: 56;Unnamed: 57;DATATION ;Unnamed: 59;Unnamed: 60;Unnamed: 61;OBSERVATIONS DIVERSES
67;Duttlenheim COS 1.3;166;;simple;1;1;primaire;non;*;*;*;*;non;*;*;*;oblongue;N/S;216;80;22;indéterminé;non;non;non;indéterminé;indéterminé;non;non;non;non;indéterminé;non;non;non;non;non;non;*;*;aucun;*;non;*;*;*;sur le ventre;1 fléchi, 1 en extension;en extension;O;mauvais;"adulte
>20";*;[>20];*;indéterminé;indéterminé;*;;;Hallstatt ;Analyse génét
67;Duttlenheim COS 1.3;184;en lien avec le fossé du Langgraben 89?;simple;1;1;primaire;non;*;*;*;*;non;*;*;*;oblongue;E/O;223;104;24;indéterminé;non;non;non;indéterminé;indéterminé;non;non;non;non;probable;non;non;non;non;non;non;*;dépôt d’un gros tesson sur le bassin;recoupe;langgraben 89;non;*;*;*;sur le dos;fléchis;en extension;SE;moyen;"adulte
>20";22-25;[>20];*;homme;indéterminé;*;;;Hallstatt ;Dans le fossé du langgraben Analyse génét
67;Duttlenheim COS 1.3;185;en lien avec le fossé du Langgraben 89?;simple;1;1;primaire;non;*;*;*;*;non;*;*;*;oblongue;N/S;197;85;11;oui;oui;non;non;probable;probable;non;non;non;non;probable;non;non;non;non;non;non;*;*;recoupe;langgraben 89;non;*;*;*;sur le dos;en extension;en extension;SE;moyen;adulte probable;*;[15-19];[>20];indéterminé;indéterminé;*;;;Hallstatt ;Dans le fossé du langgraben Analyse génét
67;Duttlenheim COS 1.3;186;en lien avec le fossé du Langgraben 89?;simple;1;1;primaire;non;*;*;*;*;non;*;*;*;oblongue;N/S;214;94;12;indéterminé;non;non;non;indéterminé;indéterminé;non;non;non;non;probable;non;non;non;non;non;non;*;*;recoupe;langgraben 89;non;*;*;*;sur le dos;fléchis;fléchis, sur la droite;SE;moyen;"adulte
>20";*;[>20];*;femme;indéterminé;*;;;Hallstatt ;A l’intérieur du langgraben Analyse génét
67;Duttlenheim COS 1.3;187;en lien avec le fossé du Langgraben 89?;simple;1;1;primaire;non;*;*;*;*;non;*;*;*;non visible;indéterminé;*;*;*;indéterminé;non;non;non;indéterminé;indéterminé;non;non;non;non;indéterminé;non;non;non;non;non;non;*;*;recoupe;langgraben 89;non;*;*;*;sur le dos;indéterminé;indéterminé;S;mauvais;"enfants
1/15";*;[5-9];*;indéterminé;indéterminé;*;;;Hallstatt ;Inhumation superficielle, perturbations labours
67;Duttlenheim COS 1.3;188;en lien avec le fossé du Langgraben 89?;simple;1;1;primaire;non;*;*;*;*;non;*;*;*;oblongue;N/S;220;76;15;oui;oui;non;non;probable;probable;oui;non;non;oui;probable;oui;non;non;non;non;non;*;*;aucun;*;non;*;*;*;sur le dos;1 fléchi, 1 en extension;en extension;SE;moyen;"adulte
>20";*;[>20];*;femme;indéterminé;*;;;Hallstatt ;Bracelet alliage cuivreux poignet droit. Analyse génét
67;Duttlenheim COS 1.3;189;;simple;1;1;primaire;non;*;*;*;*;non;*;*;*;oblongue;N/S;200;90;7;indéterminé;non;non;non;indéterminé;indéterminé;non;non;non;non;probable;non;non;non;non;non;non;*;*;aucun;*;non;*;*;*;sur le dos;1 fléchi, 1 en extension;en extension;SE;moyen;"adulte
>20";*;[>20];*;femme;indéterminé;*;;;Hallstatt ;Analyse génét
67;Duttlenheim COS 1.3;190;;simple;1;1;primaire;non;*;*;*;*;non;*;*;*;oblongue;N/S;200;100;12;oui;oui;non;non;probable;probable;non;non;non;non;indéterminé;non;non;non;non;non;non;*;*;aucun;*;non;*;*;*;sur le dos;1 fléchi, 1 en extension;en extension;SE;mauvais;"adulte
>20";*;[>20];*;indéterminé;indéterminé;*;;;Hallstatt ;
67;Duttlenheim COS 1.3;191;;simple;1;1;primaire;non;*;*;*;*;non;*;*;*;oblongue;N/S;115;36;12;indéterminé;non;non;non;indéterminé;indéterminé;oui;non;non;probable;indéterminé;non;non;non;non;non;non;parure = anneau perforé en os au niveau du crâne;*;aucun;*;non;*;*;*;sur le dos;indéterminé;en extension;SE;mauvais;"enfants
1/15";*;[5-9];*;indéterminé;indéterminé;*;;;Hallstatt ;
67;Duttlenheim COS 1.3;192;;simple;1;1;primaire;non;*;*;*;*;non;*;*;*;oblongue;N/S;90;60;20;indéterminé;non;non;non;indéterminé;indéterminé;non;non;non;non;indéterminé;non;non;non;non;non;non;*;*;recoupe;Sépulture 407;non;*;*;*;indéterminé;indéterminé;indéterminé;N;mauvais;"bébé
0/1";*;[0];*;indéterminé;indéterminé;*;;;Hallstatt ;
