site_id,nom_site,commune,pays,type_site,longitude,latitude,x_l93,y_l93,periode,sous_periode,datation_debut,datation_fin,confiance,source,bibliographie
AKG-25918,Hang des Tunigberg,Merdingen,DE,OPPIDUM,7.6833334,48.016666,1048966.5556917775,6778827.452734661,LA_TENE,,-800,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 209_ Bad Fundber 15, 1939 : 21"
AKG-25919,Kapellenberg,Munzingen,DE,OPPIDUM,7.7,47.966667,1050537.466965557,6773355.1124732345,HALLSTATT,Ha D1,-620,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 209_ Bad funber 22, 1962 : 282$"
AKG-25920,Bürglebuck,Riedböhringen,DE,OPPIDUM,8.55,47.883335,1114486.413851171,6768232.5054956665,LA_TENE,LT C1,-260,-151,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 209_ FBS NF 18/I, 1967 : 101$"
AKG-25921,Michelsberg,Riegel,DE,OPPIDUM,7.7166667,48.016666,1051447.3566261942,6778975.289473879,HALLSTATT,Ha D1,-620,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 209_ Wagner, Fundstätten I : 205"
AKG-25922,Kirchberg,Windschlaeg,DE,OPPIDUM,7.9166665,48.5,1062988.158158168,6833498.785738442,HALLSTATT,Ha D1,-620,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 209_ Bad Fundber 3, 1933-36 : 366"
AKG-25924,Fürsamen,Heidenheim-Schnaitheim,DE,OPPIDUM,10.166667,48.7,1226701.6852825833,6868346.609928897,LA_TENE,,-725,-26,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,Arch Ausgr BdW 1999 :81-82 : 2000 : 78-80
AKG-25925,Apfelstetten,Münsingen,DE,OPPIDUM,9.466666,48.416668,1177954.2346348325,6832513.315392479,LA_TENE,LT C1,-260,-151,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,arch ausgr Bdw 1999 : 75
AKG-25926,Bruckgraben,Oggelshausen,DE,OPPIDUM,9.666667,48.066666,1195982.0918022995,6794981.824465742,HALLSTATT,Ha C,-725,-531,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,Arch Ausgr BdW 1998 : 95-99 + pl céra_ 1999 : 59-64$_ 2000 : 59-62
AKG-25927,Remseck,Neckargröningen,DE,OPPIDUM,9.283334,48.866665,1160456.3822707972,6881289.248641216,TRANSITION,Ha D3 / LT A,-500,-431,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,Arch Ausgr BdW 1998 : 104-106
AKG-25928,Gaisbühl,Entringen,DE,OPPIDUM,8.59,48.33,1113957.6395456614,6817956.820981889,LA_TENE,,-800,-26,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Reinerth, PZ 1925 : 187-189 $"
AKG-25929,Mägdeberg,Mühlhausen,DE,OPPIDUM,8.75,47.8,1130070.5849909093,6760066.284732668,TRANSITION,Ha D3 / LT A,-500,-431,LOW,ArkeoGIS_LoupBernard_BW_20250806,Biel 1987 : 209_ Marburger Studien 1938 : 54 +$$
