site_id,nom_site,commune,pays,type_site,longitude,latitude,x_l93,y_l93,periode,sous_periode,datation_debut,datation_fin,confiance,source,bibliographie
AKG-25877,Lemberg,Gosheim,DE,OPPIDUM,8.75,48.15,1127240.9804240956,6798855.413315503,HALLSTATT,Ha D1,-620,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 254_ FBS NF 2, 1922-24 : 19"
AKG-25878,Kielbein,Hülben,DE,OPPIDUM,9.366667,48.516666,1169684.1396212103,6842992.230156202,LA_TENE,,-800,-26,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,Biel 1987 : 280_ FBS NF 5 1928-30 :41
AKG-25879,Amalienfels,Inzigkofen,DE,OPPIDUM,9.133333,48.083332,1156243.075873045,6793611.99953328,HALLSTATT,Ha C,-725,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 285 + pl 107_ Fundber BdW 2, 1975 : 81"
AKG-25880,Lenensburg,Kressbronn,DE,OPPIDUM,9.616667,47.583332,1196765.8028603385,6741153.776212378,TRANSITION,Ha D3 / LT A,-500,-431,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 287 + pl 108-112_ FBS 21, 1913 : 32sq$$"
AKG-25881,Schalksburg,Laufen an der Eyach,DE,OPPIDUM,8.883333,48.25,1136302.5694373178,6810668.037796854,LA_TENE,,-725,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 294 + pl113-117_ Fundber BdW 2, 1975 : 71 sq$$"
AKG-25882,Bussen,Offingen,DE,OPPIDUM,9.533334,48.016666,1186544.552250047,6788615.43688355,TRANSITION,Ha D3 / LT A,-500,-431,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 309 + pl 131_ Fundber. BdW 2, 1975 : 84"
AKG-25883,Schollerandebühl,Onstmettingen,DE,OPPIDUM,9.0,48.333332,1144234.9018958197,6820554.187013748,LA_TENE,,-800,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,Biel 1987 : 310
AKG-25884,Kirchberg,Reusten,DE,OPPIDUM,8.966666,48.583332,1139673.723654616,6848077.379727404,HALLSTATT,Ha C,-725,-531,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 313_ Germania 48, 1970 : 152 et sq._ W. Kimmig, Reusten 1966 $$$"
AKG-25885,Achalm,Reutlingen,DE,OPPIDUM,9.216666,48.5,1158787.0651488595,6840263.591506403,TRANSITION,Ha D3 / LT A,-500,-431,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 313, pl 132_ FBS NF 16 : 285 e sq. $$, arch ausgr BdW 2000 : 76-77 et 2001 : 69-71"
AKG-25886,Schlossfelsen,Tailfingen,DE,OPPIDUM,9.033334,48.25,1147405.1196230676,6811507.40541826,HALLSTATT,Ha D1,-620,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,Biel 1987 : 324
AKG-25887,Burgholz,Tübingen,DE,OPPIDUM,9.083333,48.533333,1148681.6564619297,6843191.597960575,LA_TENE,,-800,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,Biel 1987 : 328
AKG-25888,Hohenwittlingen,Wittlingen,DE,OPPIDUM,9.45,48.45,1176422.8795539394,6836105.257971577,LA_TENE,,-800,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,Biel 1987 : 339_ FBS NF 4 : 43
AKG-25889,Wurmliger Kapelle,Wurmlingen,DE,OPPIDUM,8.966666,48.5,1140373.0476866637,6838840.192369406,LA_TENE,,-800,-26,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 340_ sauvetage Rieth 1962 : qques tessons._ FBS NF 18,1, 1967 : 367+"
AKG-25890,Stettenrain,Würtingen,DE,OPPIDUM,9.283334,48.433334,1164285.857784252,6833265.964296538,HALLSTATT,,-725,-431,LOW,ArkeoGIS_LoupBernard_BW_20250806,Biel 1987 340 + pl 156-162
AKG-25891,Wald Dauner,Berghülen,DE,OPPIDUM,9.766666,48.466667,1199598.591874373,6839908.536183868,LA_TENE,,-800,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,FBS NF 18 II 1967 : 19
AKG-25892,Rusenschloss,Blaubeuren,DE,OPPIDUM,9.783334,48.4,1201462.0194439637,6832631.028417556,TRANSITION,Ha D3 / LT A,-500,-431,LOW,ArkeoGIS_LoupBernard_BW_20250806,"FBS NF 18 II 1967 : 70_ FBS 16, 1908 :27+"
AKG-25893,Messelstein,Donzdorf,DE,OPPIDUM,9.816667,48.683334,1201204.3837068263,6864222.862110958,LA_TENE,,-800,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,"FBS NF 18 II, 1967 : 66"
