row_index,excel_row_ordinal,commune,nom_site,phase_index,action,site_id,matched_reason,coord_quality,periode,sous_periode
73,276,Grosbliederstroff,Forêt,1,new,SITE-eea7ddaf4d979f03,aucune correspondance,ok,Hallstatt,Ha D2
73,276,Grosbliederstroff,Forêt,2,new,SITE-eea7ddaf4d979f03,aucune correspondance,ok,Hallstatt,Ha D3
74,277,Grosbliederstroff,Gungling,0,new,SITE-5030174b975668b6,aucune correspondance,ok,Hallstatt,Ha D1
74,277,Grosbliederstroff,Gungling,1,new,SITE-5030174b975668b6,aucune correspondance,ok,Hallstatt,Ha D2
75,278,Hagondange,La Ballastière,0,new,SITE-d376c5be79f30f23,aucune correspondance,ok,Hallstatt,Ha D1
75,278,Hagondange,La Ballastière,1,new,SITE-d376c5be79f30f23,aucune correspondance,ok,Hallstatt,Ha D2
75,278,Hagondange,La Ballastière,2,new,SITE-d376c5be79f30f23,aucune correspondance,ok,Hallstatt,Ha D3
76,279,Jouy-Aux-Arches,La Machotte,0,new,SITE-507ade112994fe60,aucune correspondance,ok,Hallstatt,Ha C
77,280,Kalhausen,"Gare, voie ferrée?",0,new,SITE-6e35dd1c659bef4e,aucune correspondance,ok,Hallstatt,Ha B2-B3
77,280,Kalhausen,"Gare, voie ferrée?",1,new,SITE-6e35dd1c659bef4e,aucune correspondance,ok,Hallstatt,Ha C
77,280,Kalhausen,"Gare, voie ferrée?",2,new,SITE-6e35dd1c659bef4e,aucune correspondance,ok,Hallstatt,Ha D1
77,280,Kalhausen,"Gare, voie ferrée?",3,new,SITE-6e35dd1c659bef4e,aucune correspondance,ok,Hallstatt,Ha D2
77,280,Kalhausen,"Gare, voie ferrée?",4,new,SITE-6e35dd1c659bef4e,aucune correspondance,ok,Hallstatt,Ha D3
78,281,Kemplich,Löffelsberg,0,new,SITE-f38ade5bb8d2633f,aucune correspondance,ok,Hallstatt,Ha B2-B3
78,281,Kemplich,Löffelsberg,1,new,SITE-f38ade5bb8d2633f,aucune correspondance,ok,Hallstatt,Ha C
79,282,Kerling-les-Sierck,Neuwiese,0,new,SITE-c529b6e1ee0b0375,aucune correspondance,ok,Hallstatt,Ha D2
79,282,Kerling-les-Sierck,Neuwiese,1,new,SITE-c529b6e1ee0b0375,aucune correspondance,ok,Hallstatt,Ha D3
80,283,Kirschnaumen,Schirmeter,0,new,SITE-5f64b3cfccf96b56,aucune correspondance,ok,indéterminé,
81,284,Languinberg,Ferme de M. L'huillier,0,new,SITE-bb157788516baefc,aucune correspondance,ok,indéterminé,
82,285,Leyviller,Studenwald Dammhütte,0,new,SITE-45130417ad443a21,aucune correspondance,ok,Hallstatt,Ha B2-B3
82,285,Leyviller,Studenwald Dammhütte,1,new,SITE-45130417ad443a21,aucune correspondance,ok,Hallstatt,Ha C
83,286,Lixing-les-Saint-Avold,Simeringen Lienering,0,new,SITE-134fd243988d317f,aucune correspondance,ok,indéterminé,
84,287,Loudrefing,La Tranchée de Rohrbach LGV,0,new,SITE-5049db90c9503ace,aucune correspondance,ok,Hallstatt,Ha D1
85,288,Manom,Les Etangs,0,new,SITE-e3e0f65ba6ba182d,aucune correspondance,ok,indéterminé,
86,289,Marsal,Les Grands Prés,0,new,SITE-85513b60f5f4b8b0,aucune correspondance,ok,Hallstatt,Ha C
86,289,Marsal,Les Grands Prés,1,new,SITE-85513b60f5f4b8b0,aucune correspondance,ok,Hallstatt,Ha D3
87,290,Marsal,Bensale,0,new,SITE-c9f82bf88908c90a,aucune correspondance,ok,Hallstatt,Ha D2
87,290,Marsal,Bensale,1,new,SITE-c9f82bf88908c90a,aucune correspondance,ok,Hallstatt,Ha D3
88,291,Merten,près de Creutzwald,0,new,SITE-bfd8fe8ecd9f9e87,aucune correspondance,ok,Hallstatt,Ha D3
89,292,Metz,ZAC technopole,0,merge,SITE-ac7c1f0694bf67e3,distance<=55.0m+commune,ok,Hallstatt,Ha D3
90,293,Mondelange,Schemerten - étape 1,0,merge,SITE-f6b081866a28095e,distance<=55.0m+commune,ok,Hallstatt,Ha C
