site_id,commune,lieu_dit,n_sep,type_sep,chrono,periode,sous_periode,genre,nb_ceramique_nmi,position_corps,decomposition,AC Fibule,AC Bracelet,AC Anneau de jambe,AC Torque,AC Boucle d'oreille,Fer épée/poignard,Fer lance,Fer Char,Roche noire Bracelet,Ambre Perle,Verre Perle
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,12/O4B,inhumation,BF IIIb,Bronze final,BF IIIb,Féminin,19,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,11,inhumation,Ha C,Hallstatt,Ha C,Féminin,2,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,10,inhumation,Ha C,Hallstatt,Ha C,Féminin,2,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,3,inhumation,Ha C,Hallstatt,Ha C,Féminin,6,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Oberes Holzackerfeld,1,inhumation,BF IIIa,Bronze final,BF IIIa,Féminin,7,,,,1,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Rue Mermoz,3,inhumation,BF I-IIa,Bronze final,BF I-IIa,Féminin,2,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Rue Mermoz,1,inhumation,BF IIa,Bronze final,BF IIa,Féminin,1,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Rue Mermoz,2,inhumation,BF,Bronze final,BF,Féminin,1,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Zone artisanale,Tr. 281 S-O/1,inhumation,BF IIb-IIIa,Bronze final,BF IIb-IIIa,Féminin,14,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Zone artisanale,Tr. 281 S-O/2,inhumation,BF IIb-IIIa,Bronze final,BF IIb-IIIa,Féminin,14,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Zone artisanale,Tr. 36,inhumation,Protohistoire indéterminé,indéterminé,Protohistoire indéterminé,Féminin,14,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Zone artisanale,Tr. 64,inhumation,Protohistoire indéterminé,indéterminé,Protohistoire indéterminé,Féminin,11,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Zone artisanale,1,inhumation,Ha C,Hallstatt,Ha C,Féminin,2,Sur le dos membres en extension,"En espace vide, cercueil monoxyle possible",,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Zone artisanale,2,inhumation,Ha C,Hallstatt,Ha C,Féminin,2,,Squelette absent,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Zone artisanale,3,inhumation,Ha C,Hallstatt,Ha C,Féminin,3,,Squelette très mal conservé,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Zone artisanale,4,inhumation,Ha C,Hallstatt,Ha C,Féminin,3,"Sur le dos, genoux fléchis vers le sud",Non identifiable,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Zone artisanale,6,inhumation,Ha C,Hallstatt,Ha C,Féminin,2,,Squelette très mal conservé,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Zone artisanale,7,inhumation,Ha C,Hallstatt,Ha C,Féminin,5,,Squelette très mal conservé,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,13,inhumation,Ha C2,Hallstatt,Ha C2,Féminin,7,Sur le dos membres inférieurs en extension,"En espace vide, cercueil monoxyle ",,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,1,inhumation,Ha C2,Hallstatt,Ha C2,Féminin,5,Sur le dos membres en extension,"En espace vide, cercueil monoxyle possible",,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,6,inhumation,Ha C,Hallstatt,Ha C,Féminin,3,,,,,,,,,,,2,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,7,inhumation,Ha C,Hallstatt,Ha C,Féminin,2,Sur le dos membres inférieurs croisés ,,,,,,,,,,1,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,8,inhumation,Ha C,Hallstatt,Ha C,Féminin,2,Sur le dos membres inférieurs en extension,"En espace vide, cercueil monoxyle ",,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,9,inhumation,Ha C-D1,Hallstatt,Ha C-D1,Féminin,2,"Sur le côté gauche, les membres inférieurs en légère flexion et les membres supérieurs en extension","En espace vide, cercueil monoxyle possible",,1,,,,,,,1,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,14,inhumation,Ha C,Hallstatt,Ha C,Féminin,3,Non observée,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,1,inhumation,Ha D2-LT A,Transition,Ha D3 / LT A,Féminin,3,Sur le dos membres inférieurs en extension ?,,,1,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,3,inhumation,LT A,La Tène,LT A,Féminin,7,Sur le dos membres en extension,En espace vide possible,2,2,,2,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,4,inhumation,LT A,La Tène,LT A,Féminin,2,Sur le dos membres en extension,"En espace vide, cercueil monoxyle ",1,1,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,14,inhumation,LT A,La Tène,LT A,Féminin,5,,Squelette très mal conservé,1,,,1,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,16,inhumation,Ha C,Hallstatt,Ha C,Féminin,2,Sur le dos membres en extension,"En espace vide, cercueil possible",,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,18,inhumation,Protohistoire indéterminé,indéterminé,Protohistoire indéterminé,Féminin,0,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,25,inhumation,Ha D-LT A,Transition,Ha D3 / LT A,Féminin,1,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,22,inhumation,Ha C,Hallstatt,Ha C,Féminin,1,"Sur le dos membres inférieurs en extension, membre supérieurs fléchis",,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,50,inhumation,Protohistoire indéterminé,indéterminé,Protohistoire indéterminé,Féminin,0,Sur le dos membres en extension,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,114,inhumation,Ha D1,Hallstatt,Ha D1,Féminin,4, Sur le dos membres inférieurs et le membre supérieur droit en extension et le membres supérieur gauche fléchi,Squelette très mal conservé,,2,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,57,inhumation,Protohistoire indéterminé,indéterminé,Protohistoire indéterminé,Féminin,0,,Squelette très mal conservé,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,58,inhumation,Protohistoire indéterminé,indéterminé,Protohistoire indéterminé,Féminin,1,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,59,inhumation,Ha D1-D2,Hallstatt,Ha D1-D2,Féminin,1,,Squelette très mal conservé,,1,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,60,inhumation,Protohistoire indéterminé,indéterminé,Protohistoire indéterminé,Féminin,1,,Squelette très mal conservé,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,65,inhumation,Ha C-D1,Hallstatt,Ha C-D1,Féminin,8,Sur le dos membres inférieurs en extension,"En espace vide, cercueil monoxyle ",,1,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,81,inhumation,Ha C-D1,Hallstatt,Ha C-D1,Féminin,2,"Sur le dos membres inférieurs en extension, membre supérieurs fléchis",Squelette très mal conservé,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,87,inhumation,LT A,La Tène,LT A,Féminin,5,Sur le dos membres en extension,,,2,,1,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,112,inhumation,Protohistoire indéterminé,indéterminé,Protohistoire indéterminé,Féminin,1,,Squelette très mal conservé,,,,,,,,,1,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur  HE,115,inhumation,Ha C-D1,Hallstatt,Ha C-D1,Féminin,10,Sur le dos membres en extension,"En espace vide, cercueil possible",,1,,,,,,,1,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur  HE,79,inhumation,Ha C,Hallstatt,Ha C,Féminin,3,"Sur le dos membres inférieurs en extension, membre supérieurs fléchis",Squelette très mal conservé,,,,,,,,,2,1,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Oberes Holzackerfeld,1,inhumation,Protohistoire indéterminé,indéterminé,Protohistoire indéterminé,Féminin,3,,,,,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,1063,inhumation,Ha D3-LT A,Transition,Ha D3 / LT A,Féminin,1,,,,1,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,1064,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,5,,,,2,2,1,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,1066,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,5,,,1,2,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,1070,inhumation,Ha D-LT A,Transition,Ha D3 / LT A,Féminin,8,,,2,2,2,1,,,,,,,
