excel_row_index,new_site_id,slug,duplicate_of_site_id,needs_review,status,notes
88,SITE-3aa9b55640bc748b,"ohnenheim|niederschley, tumulus 9|FR",,False,clean,
89,SITE-fc33fef89bf7e98a,"selestat|prairie, tum 1, tombe 2|FR",,False,clean,
90,SITE-1937327ccdb39f8d,"selestat|prairie, tum 1, tombe 6|FR",,False,clean,
91,SITE-aa70659faa6d44fc,"westhouse|jungholz, tombe 2|FR",,False,clean,
92,SITE-59c79ca64a7fe252,appenwihr|tumulus 1|FR,,False,clean,
93,SITE-51d1825ec7477833,appenwihr|tumulus 3|FR,,False,clean,
94,SITE-4b125ad72a6d8d59,"colmar-riedwihr|herten grassmatt, tum 1|FR",,False,clean,
95,SITE-721172d3b5dcdc3f,"ensisheim|allmend (tum 21), ens 1|FR",,False,clean,
96,SITE-e0308e5c5069483f,"ensisheim|allmend (tum 21), ens 2|FR",,False,clean,
97,SITE-e1f0c6ed7b566145,"herrlisheim-pres-colmar|graviere, fouille 1867, tombe 2|FR",,False,clean,
98,SITE-e9344264696769ae,illfurth|britzgyberg|FR,,False,clean,
99,SITE-836efc0158fbcff8,rixheim|hunerhubel|FR,,False,clean,
100,SITE-c49de7cb786ee7c6,sainte-croix-en-plaine|tombe 10/1|FR,,False,clean,
101,SITE-4e069b92a75c5743,saint-louis-la-chaussee|lisbuhl|FR,,False,clean,
102,SITE-2372f13f5fc0f6ec,sausheim|rixheimerfeld|FR,,False,clean,
103,SITE-12b463dde8c78c21,sundhoffen|foret du kastenwald|FR,,False,clean,
104,SITE-289ec90dc644f738,marainville-sur-madon|sous le chemin de naviot|FR,,False,clean,
105,SITE-497a2d534ab97d18,marainville-sur-madon|sous le chemin de naviot|FR,,True,internal_duplicate_slug,Même slug qu’une autre ligne Excel (index précédent 104)
106,SITE-c822d38157e647df,grandvillars|grand noz|FR,,False,clean,
