site_id,id_proto,commune,lieu_dit,type_site,type_site_canon,periode,sous_periode,datation_1_brut,datation_2_brut,longitude,latitude,x_l93,y_l93,statut_fouille,confiance,source,bibliographie,structures_resume,remarques,ea,oa
PROTO-ALS-661,661,Rixheim,Gravière,funéraire,NECROPOLE,HALLSTATT,,Bronze final,Ha A2-B1,7.396826,47.744372,1029324.8236514365,6747391.136722183,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,crémation,"crémation 1, 2, 3, 4",,-
PROTO-ALS-662,662,Rixheim,Zac le Petit Prince,habitat,HABITAT,HALLSTATT,,Bronze final,Ha A2-B1,7.419012,47.747232,1030967.0633899494,6747801.164031407,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,"Murer, 2007, p; 66, 67, 70-75","fosse, fosse-silo, fosse polylobée, trou de poteau",Ha A1 ??,,682780046
PROTO-ALS-663,663,Rixheim,Gravière,mobilier,DEPOT,,,Bronze final,Bze D,7.396826,47.744372,1029324.8236514365,6747391.136722183,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,"point mobilier, habitat",-,,-
PROTO-ALS-664,664,Rixheim,Gravière,mobilier,DEPOT,HALLSTATT,,Bronze final,Ha A2,7.396826,47.744372,1029324.8236514365,6747391.136722183,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,"point mobilier, habitat",-,,-
PROTO-ALS-665,665,Rodern,Schaenzel,mobilier,DEPOT,HALLSTATT,,Bronze final,Ha A1-A2,7.324655,48.240376,1020907.4626384682,6802126.895976294,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,"point mobilier, habitat",-,,-
PROTO-ALS-666,666,Rixheim,Gypsboden,habitat,HABITAT,HALLSTATT,,Bronze final,Ha B1,7.388776,47.732958,1028792.9438469966,6746091.399580484,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Voegtlin 1984,fosse,-,,-
PROTO-ALS-668,668,Richwiller,-,funéraire,NECROPOLE,,,Bronze final,Bze D,,,,,,LOW,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,crémation,Tumulus ?,,-
PROTO-ALS-670,670,Riedisheim,-,funéraire,NECROPOLE,,,Bronze final,Bze D,,,,,,LOW,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,crémation,-,,-
PROTO-ALS-675,675,Merxheim,Trummelmatten,habitat,HABITAT,HALLSTATT,,Bronze final,Ha B1,7.286868,47.906255,1020121.0747391238,6764898.661578286,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,"Treffort, Dumont 2000",Fosse-silo,"6 fosses-silo
9000m2 sondés
3000m2 fouillés",,-
PROTO-ALS-676,676,Merxheim,Oberbrey 1 et Breyl,habitat,HABITAT,HALLSTATT,,Bronze final,Ha B1,7.286015,47.910781,1020030.155553106,6765397.373524238,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,"Bonnet, Plouin-Mantzer, 1979",fosse,-,,-
PROTO-ALS-680,680,Merxheim,"Winter, rue de Réguisheim/rue de Verdun, lotissement Wintergarten",habitat,HABITAT,HALLSTATT,,Bronze final,Ha B1,7.296204,47.909765,1020796.3418750665,6765325.991186037,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Michler 2016,fosse,-,,6517
PROTO-ALS-682,682,Meyenheim,-,mobilier,DEPOT,HALLSTATT,,Bronze final,Ha A1-A2,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,"point mobilier, habitat",-,,-
PROTO-ALS-684,684,Kunheim,Les Résidences des Tilleuls,funéraire,NECROPOLE,HALLSTATT,,Bronze final,Ha A2-B1,7.536648486,48.07056508,1037705.0000795278,6784168.999138198,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,"Treffort et Gatto 2000, Rault 2011",crémation,"2 enclos circulaires
2,4 ha sondés
7200m2",,681720015
PROTO-ALS-689,689,Merxheim,Groupe scolaire,habitat,HABITAT,HALLSTATT,,Bronze final,Ha A2,7.291681,47.911095,1020450.9152818484,6765455.191558756,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,"Bonnet, Plouin-Mantzer, 1979",fosse,-,,-
PROTO-ALS-690,690,Merxheim,Saefflenhaeg,habitat,HABITAT,HALLSTATT,,Bronze final,Ha A2,7.300964,47.902845,1021193.2795862536,6764577.559650571,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,"Bonnet, Plouin-Mantzer, 1979",fosse,-,,-
PROTO-ALS-691,691,Mulhouse,Rocade Ouest,habitat,HABITAT,HALLSTATT,,Bronze final,Ha A2,7.284580047,47.72858917,1021021.0000378358,6745177.999322018,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,"Bakaj et al. 2002, Lefranc et al. 1996","Fosse-silo, fosse polylobée, fond de cabane","13 fosses silo, 5 fosses polylobées",,-
PROTO-ALS-692,692,Mulhouse,Rocade Ouest,funéraire,NECROPOLE,HALLSTATT,,Bronze final,Ha A2,7.284580047,47.72858917,1021021.0000378358,6745177.999322018,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,"Bakaj et al. 2002, Lefranc et al. 1996",crémation,-,,-
