site_id,id_proto,commune,lieu_dit,type_site,type_site_canon,periode,sous_periode,datation_1_brut,datation_2_brut,longitude,latitude,x_l93,y_l93,statut_fouille,confiance,source,bibliographie,structures_resume,remarques,ea,oa
PROTO-ALS-794,794,Duttlenheim,Loewlen,habitat,HABITAT,LA_TENE,,La Tène finale,,7.563651,48.528827,1036770.7422313952,6835133.312191754,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"fossé, fosses",nan,,
PROTO-ALS-795,795,Lingolsheim,Sablière Freysz,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,7.671497,48.545279,1044611.8309345746,6837424.382161889,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,1 incinération,nan,,
PROTO-ALS-796,796,Holtzheim,Altmatt,habitat,HABITAT,LA_TENE,,La Tène finale,,7.6555812,48.55924783,1043347.5980518726,6838905.2029590905,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"structure isolée, puits, fosses",nan,,
PROTO-ALS-797,797,Holtzheim,Rosenweg,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,7.6551584,48.5592751,1043316.2742071375,6838906.3908594595,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,1 incinération,nan,,
PROTO-ALS-798,798,Strasbourg-Koenigshoffen,Rue Constantin,funéraire,NECROPOLE,LA_TENE,LT D2,La Tène finale,LT D2,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,1 incinération,nan,,
PROTO-ALS-799,799,Strasbourg,Place Saint-Thomas,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,7.74536,48.579869,1049823.175422384,6841587.612354697,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,nécropole,nan,,
PROTO-ALS-800,800,Strasbourg-Koenigshoffen,Rue Gerlinde,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,incinération,nan,,
PROTO-ALS-801,801,Strasbourg,Ile Saint-Jean,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,7.738395,48.580469,1049306.3393106803,6841623.3594570905,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,nan,nan,,
PROTO-ALS-802,802,Strasbourg,Place Sainte-Marguerite,habitat,HABITAT,LA_TENE,,La Tène finale,,7.737388,48.580561,1049231.5808624856,6841629.114383388,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"fours de potier, fosses",nan,,
PROTO-ALS-803,803,Achenheim,La tuilerie d’Achenheim-Bas,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,7.6369369,48.5807689,1041833.7592937204,6841212.620603485,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,1 incinération,nan,,
PROTO-ALS-804,804,Strasbourg,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-805,805,Strasbourg-Koenigshoffen,Rue des Comtes,funéraire,NECROPOLE,LA_TENE,,La Tène moyenne,,,,,,prospection,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,inhumations en silo,nan,,
PROTO-ALS-806,806,Achenheim,Auf den Ziegelhof,habitat,HABITAT,LA_TENE,,La Tène finale,,7.63526012,48.58213211,1041701.3985811977,6841356.648404154,,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"fosses, silos, bâtiments",nan,,
PROTO-ALS-807,807,Strasbourg,Rue du 22 novembre,habitat,HABITAT,LA_TENE,,La Tène finale,,7.741926,48.582875,1049550.2728661734,6841905.975377664,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"structure isolée, fosse",nan,,
PROTO-ALS-808,808,Strasbourg,"3, Rue du Dôme",mobilier,HABITAT,LA_TENE,,La Tène finale,,7.74951,48.58409,1050100.5328804057,6842074.401019447,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-809,809,Strasbourg,"14, rue de la Nuée bleue",funéraire,NECROPOLE,LA_TENE,,La Tène finale,,7.747698,48.585061,1049960.6395839471,6842174.118696317,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,nécropole à incinération,nan,,
PROTO-ALS-810,810,Eckbolsheim,Seeland,habitat,HABITAT,LA_TENE,,La Tène finale,,7.6862821,48.58998239,1045406.472862321,6842449.827147983,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"structure isolée, puits",nan,,
PROTO-ALS-811,811,Eckbolsheim,Heidengebreit,habitat,HABITAT,LA_TENE,,La Tène finale,,7.6844817,48.5953938,1045238.2601904402,6843042.480268501,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"fossés (enclos), fosses, trous de poteau, cave",nan,,
PROTO-ALS-812,812,Schiltigheim,croisement des routes de Brumath et Bischheim,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,7.741452,48.5975,1049417.8051212044,6843526.802185223,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,1 incinération,nan,,
PROTO-ALS-813,813,Schiltigheim,Schaefacker,habitat,HABITAT,LA_TENE,,La Tène finale,,7.708334,48.607462,1046914.104625249,6844486.276882497,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"structure isolée, fosse",nan,,
PROTO-ALS-814,814,Ittenheim,Complexe sportif,habitat,HABITAT,LA_TENE,,La Tène finale,,7.5951387,48.6096098,1038569.4233242616,6844233.304664736,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Lefranc 2007,structure isolée,nan,,
PROTO-ALS-815,815,Hurtigheim,Musaubreite,habitat,HABITAT,LA_TENE,,La Tène finale,,7.60941326,48.61323372,1039596.4741395006,6844696.795502995,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"structure isolée, fosse",nan,,
PROTO-ALS-816,816,Bischheim,"37, route de Bischwiller",funéraire,NECROPOLE,LA_TENE,,La Tène moyenne,,7.7524347,48.61480328,1050110.4853991908,6845495.598784938,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,inhumations,nan,,
PROTO-ALS-817,817,Marlenheim,Maison Apprederis,habitat,HABITAT,LA_TENE,,La Tène finale,,7.48748,48.620719,1030575.6340250976,6845010.13183408,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"bâtiments, puits, caves",nan,,
PROTO-ALS-818,818,Hoenheim,Glaisière  Ihl,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,nan,nan,,
PROTO-ALS-819,819,Souffelweyersheim,Briqueteries Alsaciennes,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.752548,48.631249,1050008.8470460344,6847321.103842184,,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-820,820,Mundolsheim-Hausbergen,Gare de marchandise,habitat,HABITAT,LA_TENE,,La Tène finale,,,,,,fouille,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,"structure isolée, fosses",nan,,
PROTO-ALS-821,821,Wasselonne,Kreuzfarthweg,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,7.4463405,48.63976878,1027429.0708843668,6846953.159644961,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,1 incinération,nan,,
PROTO-ALS-822,822,Wiwersheim,ZA du Kochersberg,habitat,HABITAT,LA_TENE,,La Tène finale,,7.5990047,48.643764,1038632.9231859802,6848040.4719358515,fouille,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,fosses,nan,,
PROTO-ALS-823,823,La Wantzenau,Kirchacker,habitat,HABITAT,LA_TENE,,La Tène finale,,7.820781,48.656642,1054855.5278272699,6850443.516776389,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"trous de poteau, fosses",nan,,
PROTO-ALS-824,824,La Wantzenau,Kirchacker,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,7.820781,48.656642,1054855.5278272699,6850443.516776389,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,1 incinération,nan,,
PROTO-ALS-825,825,Vendenheim,Nachtweid,habitat,HABITAT,LA_TENE,,La Tène finale,,7.7218488,48.6684429,1047503.5385309432,6851313.1089338,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"fossé, fosses, puits, trous de poteau",nan,,
PROTO-ALS-826,826,Hœrdt,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-827,827,Brumath,Forêt,funéraire,TUMULUS,LA_TENE,,La Tène moyenne,,7.692538,48.7017127,1045129.2781180765,6854876.867970132,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,tombes dans tumulus,nan,,
PROTO-ALS-828,828,Thal,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-829,829,Mittelhausen,Vierbruckgraben,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.61690105,48.7066764,1039540.435453584,6855099.857045246,,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-830,830,Hohatzenheim,près de l'église,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.6166127,48.71247,1039481.6149509513,6855741.652916544,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-831,831,Duntzenheim,"Rainwasen, LGV EE 8.4",habitat,HABITAT,LA_TENE,,La Tène finale,,7.5528059,48.714883,1034779.3729391161,6855737.05741801,fouille,LOW,BdD_Proto_Alsace_xlsx,"Véber, féliu 2017","fossé, bâtiments, silos, fosses",nan,,
PROTO-ALS-832,832,Brumath,Stephansfeld,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,7.710552,48.7199811,1046331.5180020654,6856983.236707347,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,nan,nan,,
PROTO-ALS-834,834,Brumath,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-835,835,Monswiller,Zornhof,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.3789186,48.7490674,1021795.7058508517,6858808.761248458,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-836,836,Saverne / Ottersthal,Fossé des Pandours,habitat,HABITAT,LA_TENE,,La Tène finale,,,,,,fouille,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,"rempart, ateliers, bâtiments, fosses",nan,,
PROTO-ALS-837,837,Saint-Jean-Saverne,Mont-Saint-Michel,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.3644419,48.7752807,1020571.923257179,6861659.955441316,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-838,838,Ernolsheim-lès-Saverne,Heidenstadt,habitat,HABITAT,LA_TENE,,La Tène finale,,7.3658874,48.7819898,1020636.7642596839,6862410.651720436,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2011,rempart,nan,,
PROTO-ALS-839,839,Schirrhein,Kirchlach,funéraire,TUMULUS,LA_TENE,,La Tène finale,,7.907123404,48.805660274999994,1060174.0693792184,6867371.288361678,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,tombes dans tumulus,nan,,
PROTO-ALS-840,840,Ettendorf,Gaentzenbruch,funéraire,NECROPOLE,LA_TENE,,La Tène moyenne,,7.5791698,48.81577021,1036065.6669181858,6867047.548646223,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,nan,nan,,
PROTO-ALS-841,841,Soufflenheim,Biltz,mobilier,HABITAT,LA_TENE,,La Tène moyenne,,7.961106,48.820273,1064029.0919632541,6869240.466512634,,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-842,842,Schweighouse-Sur-Moder,Ancienne Sablière Quirin,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,7.749563,48.82906,1048467.1945114278,6869261.262706576,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,nécropole à incinération,nan,,
PROTO-ALS-843,843,Obermodern-Zutzendorf,nan,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,1 incinération,nan,,
PROTO-ALS-844,844,Eschbach,Laubbuehl,habitat,HABITAT,LA_TENE,,La Tène finale,,7.722738,48.8741091,1046202.0228646368,6874143.471847046,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,fosses,nan,,
PROTO-ALS-845,845,Eschbach,Wasserloch,habitat,HABITAT,LA_TENE,,La Tène finale,,7.7548078,48.8769014,1048531.393192204,6874594.4874726515,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,fosses,nan,,
PROTO-ALS-846,846,Mietesheim,im Bruehl,funéraire,TUMULUS,LA_TENE,,La Tène finale,,7.6594199,48.8797506,1041528.896375678,6874493.945940953,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,nivellement d'un tertre,nan,,
PROTO-ALS-847,847,Seltz,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-848,848,Seltz,Eglise,habitat,HABITAT,LA_TENE,,La Tène finale,,8.107902,48.893719,1074257.745838854,6878076.96872519,,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,fosses,nan,,
PROTO-ALS-849,849,Hatten,Rothsmatt,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,8.000836,48.896084,1066406.9423486802,6877837.278141316,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,1 crémation,nan,,
PROTO-ALS-850,850,Hatten,Rothsmatt,habitat,HABITAT,LA_TENE,,La Tène finale,,8.000836,48.896084,1066406.9423486802,6877837.278141316,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"fossés, bâtiments, fosses",nan,,
PROTO-ALS-851,851,Seltz,Hesselbusch,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,8.074129,48.899343,1071746.4453630704,6878541.516217808,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,vase,nan,,
PROTO-ALS-852,852,Sarrewerden,en bordure de la RD 8,habitat,HABITAT,LA_TENE,,La Tène finale,,7.08708057,48.9286171,999336.1956563321,6877597.011983074,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2015,"fossé, trous de poteau, bâtiments",nan,,
PROTO-ALS-853,853,Diemeringen,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-854,854,Sarre-Union,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-855,855,Domfessel,Lampertsaecker,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.1627063,48.9505141,1004741.6005978013,6880317.987984738,,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"habitat, pas de structure, uniquement du mobilier découvert en surface",nan,,
PROTO-ALS-856,856,Niederbronn-les-Bains,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-857,857,Vœllerdingen,Lutterbacherhof,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.1233008,48.98055062,1001685.1115784176,6883502.320865321,,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-858,858,Dehlingen,Gurtelbach,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.1976583,48.99044842,1007061.9796123381,6884888.133114094,,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-859,859,Oermingen,Busmauer,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.1372726,48.9981267,1002604.071311835,6885507.721290889,,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-860,860,Illfurth,Schwartzacker,habitat,HABITAT,LA_TENE,,La Tène finale,,7.27245,47.68006,1020404.6379331173,6739744.912534574,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,nan,nan,,
PROTO-ALS-861,861,Colmar,Jardin des Aubépines,habitat,HABITAT,LA_TENE,,La Tène finale,,7.3453055,48.063379999999995,1023520.1741711246,6782570.659736002,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Roth-Zehner 2008,"réseau de fossés, fosses, en bas de pente, en zone inondable",nan,,
PROTO-ALS-862,862,Bettendorf,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,,LOW,BdD_Proto_Alsace_xlsx,Zehner 1998,mobilier,nan,,
PROTO-ALS-863,863,Dannemarie,nan,dépôt,DEPOT,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Zehner 1998,mobilier,nan,,
PROTO-ALS-864,864,Sierentz,Landstrasse/Sandgrube/ZAC Hoell,habitat,HABITAT,LA_TENE,,La Tène finale,,7.449743,47.659606,1033814.5998184053,6738210.372512793,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,nan,nan,,
PROTO-ALS-865,865,Illfurth,Naegelberg,habitat,HABITAT,LA_TENE,,La Tène finale,,7.2724,47.680057,1020400.9099588477,6739744.376834967,,MEDIUM,BdD_Proto_Alsace_xlsx,"plusieurs opérations, vérifier",nan,nan,,
PROTO-ALS-866,866,Kembs,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,,LOW,BdD_Proto_Alsace_xlsx,Zehner 1998,mobilier,nan,,
PROTO-ALS-867,867,Didenheim,ZAC des Collines,habitat,HABITAT,LA_TENE,,La Tène finale,,7.286061,47.72495,1021153.7870649232,6744780.289322541,fouille,LOW,BdD_Proto_Alsace_xlsx,Mamie 2009,"fossé, puits, bâtiments",nan,,
PROTO-ALS-868,868,Habsheim,Hinter dem Dorf,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.41618,47.72875,1030869.96288218,6745739.066559258,,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,habitat,nan,,
PROTO-ALS-869,869,Habsheim,Landsererweg,habitat,HABITAT,LA_TENE,,La Tène finale,,7.41618,47.72875,1030869.96288218,6745739.066559258,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,nan,nan,,
PROTO-ALS-871,871,Habsheim,Winling,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.41618,47.72875,1030869.96288218,6745739.066559258,,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,"habitat, mobilier",nan,,
PROTO-ALS-872,872,Habsheim,Katzenpfad,habitat,HABITAT,LA_TENE,,La Tène finale,,7.442849,47.744898,1032765.0670754106,6747642.435018782,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,fosses,nan,,
PROTO-ALS-873,873,Rixheim,Ristel,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.397719,47.746707,1029377.1994726048,6747653.890383944,,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,habitat,nan,,
PROTO-ALS-875,875,Rixheim,ZAC Le Petit Prince,habitat,HABITAT,LA_TENE,,La Tène finale,,7.419012,47.747232,1030967.0633899494,6747801.164031407,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Schneikert 2005,nan,nan,,
PROTO-ALS-876,876,Sausheim,Rixheimerfeld,habitat,HABITAT,LA_TENE,,La Tène finale,,7.375784,47.787529,1027484.7977184262,6752091.257725764,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,puits,nan,,
PROTO-ALS-877,877,Pulversheim,Hoell,habitat,HABITAT,LA_TENE,,La Tène finale,,7.2941341925,47.839421425,1021066.7893531886,6757513.009860963,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,zehner 1998,enclos quadrangulaire,nan,,
PROTO-ALS-878,878,Ensisheim,Lotissement EDF,habitat,HABITAT,LA_TENE,,La Tène finale,,7.353214,47.865867,1025317.7496124466,6760688.844439314,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,nan,nan,nan,,
PROTO-ALS-879,879,Ensisheim,THK 2000,habitat,HABITAT,LA_TENE,,La Tène finale,,7.356666,47.87408,1025525.1328069957,6761614.256939831,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,nan,vaste site avec fossés d'enclos,nan,,
PROTO-ALS-880,880,Hirtzfelden,Munchhauser Strasse,habitat,HABITAT,LA_TENE,,La Tène finale,,7.445403,47.911633,1031913.7354418902,6766149.883707215,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Werlé 2001,nan,nan,,
PROTO-ALS-881,881,Dessenheim,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,"Forrer 1925, Zehner 1998",mobilier,nan,,
PROTO-ALS-883,883,Biesheim,Oedenbourg,habitat,HABITAT,LA_TENE,LT D2,La Tène finale,LT D2b,7.557772,48.039733,1039473.3331006716,6780839.008398363,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,"fond de cabane, céramique",nan,,
PROTO-ALS-884,884,Eguisheim,Carrefour des Oignons,habitat,HABITAT,LA_TENE,,La Tène finale,,7.323077,48.045547,1021975.2996368676,6780501.078399029,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,"Violot 1987, Zehner 1998","fosses, paléosol",nan,,
PROTO-ALS-885,885,Colmar,Fronholz,habitat,HABITAT,LA_TENE,,La Tène finale,,7.385715,48.051682,1026597.8592785464,6781439.042111315,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,nan,nan,,
PROTO-ALS-886,886,Colmar,rue Balzac,habitat,HABITAT,LA_TENE,,La Tène finale,,7.347851,48.06442,1023703.1418412642,6782696.488653091,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,nan,nan,,
PROTO-ALS-887,887,Horbourg-Wihr,Schlossfeld,habitat,HABITAT,LA_TENE,,La Tène finale,,7.39959,48.075064,1027485.3433580274,6784090.852499094,prospection,LOW,BdD_Proto_Alsace_xlsx,Le Martret 2012,"fossé, palissade, fosses",nan,,
PROTO-ALS-888,888,Houssen,"Gravière, Base de loisirs",habitat,HABITAT,LA_TENE,,La Tène finale,,7.373007,48.114997,1025263.0174082823,6788411.845154817,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Véber 2007,nan,nan,,
PROTO-ALS-889,889,Houssen,Lotissement Les Jardins,habitat,HABITAT,LA_TENE,,La Tène finale,,7.379693,48.12307,1025710.0746723585,6789335.18591995,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Latron 2005,nan,nan,,
PROTO-ALS-890,890,Houssen,Lotissement Le Château d’Eau,habitat,HABITAT,LA_TENE,,La Tène finale,,7.375144,48.12451,1025363.2576633648,6789476.21478319,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Roth-Zehner 2010,nan,nan,,
PROTO-ALS-891,891,Houssen,Tiergarten,habitat,HABITAT,LA_TENE,,La Tène finale,,7.379169,48.126087,1025652.5608100612,6789667.791782413,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Roth-Zehner 2015,"fossés, fosses",nan,,
PROTO-ALS-893,893,Illhaeusern,Niedere Eilach,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.433538,48.183928,1029330.7043396442,6796311.346594919,,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,mobilier,nan,,
PROTO-ALS-894,894,Bergheim,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,,LOW,BdD_Proto_Alsace_xlsx,"Forrer 1925, Zehner 1998",mobilier,nan,,
PROTO-ALS-895,895,Scherwiller,ZAC du Giessen,habitat,HABITAT,LA_TENE,,La Tène finale,,7.424078,48.272075,1028080.144368729,6806053.13405606,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Flotté 2008,nan,nan,,
PROTO-ALS-896,896,Benfeld,Ehl,habitat,HABITAT,LA_TENE,,La Tène finale,,7.604778,48.3718275,1040819.3819897239,6817887.535165196,,MEDIUM,BdD_Proto_Alsace_xlsx,"Flotté, Fuchs 2000","habitat groupé, fosses, silos...",nan,,
PROTO-ALS-897,897,Benfeld,Parc d'Activités des Nations,habitat,HABITAT,LA_TENE,,La Tène finale,,7.596571,48.379336,1040164.0785657526,6818685.306548834,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Schneikert 2004,"structure isolée, puits",nan,,
PROTO-ALS-898,898,Meistratzheim,"Laengelstein, SIVOM de l’Ehn",habitat,HABITAT,LA_TENE,,La Tène finale,,7.555941,48.461942,1036631.1654676159,6827677.815803247,fouille,LOW,BdD_Proto_Alsace_xlsx,Roth-Zehner 2010,nan,nan,,
PROTO-ALS-899,899,Michelbach-le-Bas,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Zehner 1998,mobilier,nan,,
PROTO-ALS-900,900,Mulhouse,commune,dépôt,DEPOT,LA_TENE,,La Tène finale,,7.33549,47.749633,1024703.2940519507,6747720.753405897,signalement,LOW,BdD_Proto_Alsace_xlsx,"Forrer 1925, Zehner 1998",mobilier,nan,,
PROTO-ALS-902,902,Mulhouse,Dornac,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.33549,47.749633,1024703.2940519507,6747720.753405897,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,"Forrer 1925, Zehner 1998",mobilier,nan,,
PROTO-ALS-903,903,Oberentzen,nan,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Zehner 1998,fibule provenant d'une incinération,nan,,
PROTO-ALS-904,904,Oberhergheim,Forêt communale,funéraire,NECROPOLE,LA_TENE,,La Tène finale,,7.396211,47.966562,1027905.0166131523,6772038.390907468,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,fibule de Nauheim,nan,,
PROTO-ALS-905,905,Saint-Louis,nan,dépôt,DEPOT,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Zehner 1998,mobilier,nan,,
PROTO-ALS-906,906,Spechbach-le-Bas,commune,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.229019,47.671572,1017201.2214967054,6738627.90314907,signalement,LOW,BdD_Proto_Alsace_xlsx,Mériel 1997,mobilier,nan,,
PROTO-ALS-907,907,Wettolsheim,Koenigsbreite,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.304285,48.056872,1020508.5260453473,6781681.249070468,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,mobilier,nan,,
