site_id,id_site_source,nom_site,commune,lieu_dit,pays,admin1,longitude,latitude,x_l93,y_l93,epsg_source,decouverte_annee,decouverte_operation,periode,sous_periode,datation_debut,datation_fin,type_site,confiance,source,bibliographie,rapports,commentaire
ALSACE-BASEL-AF-15,15,Leffert,Dachstein/Ernolsheim-Bruche,Leffert,FR,Bas-Rhin,7.538224945,48.55600108,1034723.0000057372,6838041.000024885,4326.0,19e siècle,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Forrer 1913 ; 342-353 ; Dotzler 1997 ; 117-118 ; Flotté ; Fuchs 2000 (CAG 67) ; Ernolsheim-sur-Bruche ; site n° 001,,"Leffert, à cheval sur les communes de Dachstein et d'Ernolsheim Bruche"
ALSACE-BASEL-AF-16,16,Haspelacker et Aufs Dingsheimer Feld,Dingsheim Stutzheim-Offenheim,Haspelacker et Aufs Dingsheimer Feld,FR,Bas-Rhin,7.642566806,48.62689478,1041947.0000442946,6846355.999683809,4326.0,2018,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Habasque-Sudour 2021,Habasque-Sudour 2021,
ALSACE-BASEL-AF-17,17,Ampfad et Neustrasse,Duttlenheim,Ampfad et Neustrasse,FR,Bas-Rhin,7.580986477,48.52596706,1038067.0000319695,6834889.999960793,4326.0,2018,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Seguin 2021,Seguin 2021,
ALSACE-BASEL-AF-18,18,Burgweg Rechts,Eckwersheim,Burgweg Rechts,FR,Bas-Rhin,7.691786592,48.69127343,1045143.0000118058,6853715.000047648,4326.0,2009,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Féliu 2023,Féliu 2023,même site que Brumath groupe sud
ALSACE-BASEL-AF-19,19,Niedermatten,Elsenheim,Niedermatten,FR,Bas-Rhin,7.498358755,48.16157044,1034282.0000696746,6794102.998950378,4326.0,1862,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,A. Coste ; 1863-64 ; carte ; Flotté ; Fuchs 2000 (CAG 67) ; Elsenheim ; site n° 005 et 010,,
ALSACE-BASEL-AF-20,20,Sur le ban communal,Ergersheim,Sur le ban communal,FR,Bas-Rhin,7.530155199,48.56987852,1034040.000013964,6839546.999635067,4326.0,1930,découverte fortuite,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Schaeffer 1930 ; 180 ; Normand 1973 ; 82 ; Flotté ; Fuchs 2000 (CAG 67) ; Ergersheim ; site n° 008.,,
ALSACE-BASEL-AF-21,21,ancienne poste/école,Fegersheim,ancienne poste/école,FR,Bas-Rhin,7.678607079,48.48948421,1045503.0000106883,6831263.9992061155,4326.0,1932,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Forrer 1937 ; 136-138 ; Flotté ; Fuchs 2000 (CAG 67) ; Fegersheim ; site n° 001.,,
ALSACE-BASEL-AF-22,22,"nord village, près de la voie ferrée",Fegersheim,"nord village, près de la voie ferrée",FR,Bas-Rhin,7.680869271,48.50616588,1045560.0000285195,6833124.999761664,4326.0,19e siècle,fouille,,,,,habitat,MEDIUM,Alsace_Basel_AF_xlsx,Forrer 1937 ; 136-138 ; Koenig 1985 ; 78-83. ; Flotté ; Fuchs 2000 (CAG 67) ; Fegersheim ; site n° 015.,,
ALSACE-BASEL-AF-23,23,Rocade sud de Strasbourg,Fegersheim/Geispolsheim,Rocade sud de Strasbourg,FR,Bas-Rhin,7.671183488,48.51161199,1044810.0000717803,6833686.999351484,4326.0,2015,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Ferrier et al. 2021 ; 483,Ferrier et al. 2021 ; 483,
ALSACE-BASEL-AF-24,24,Schiessheck,Forstfeld,Schiessheck,FR,Bas-Rhin,8.040517944,48.86146999,1069556.0000262293,6874180.999293685,4326.0,"2000, 2002",fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Châtelet ; Boës ; Plouin 2003 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2022,Châtelet ; Boës ; Plouin 2003 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2022,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-25,25,Forêt de Gries,Gries,Forêt de Gries,FR,Bas-Rhin,7.816214329,48.75517891,1053852.0000645393,6861357.999105911,4326.0,1876-1886,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,A.W. Naue ; 1905 ; F. A. Schaeffer ; 1926 ; 1930 ; Flotté ; Fuchs 2000 (CAG 67) ; Gries ; site n° 011 ; 005 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2022,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2022,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-26,26,Flaschen,Griesheim-sur-Souffel,Flaschen,FR,Bas-Rhin,7.644345217,48.63497991,1042025.0000329607,6847260.998957157,4326.0,2018,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Goepfert et al. 2020,Goepfert et al. 2020,
ALSACE-BASEL-AF-27,27,Dachshuebel-Birklach,Haguenau,Dachshuebel-Birklach,FR,Bas-Rhin,7.816195946,48.83730988,1053294.000019262,6870472.999451247,4326.0,19e siècle,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,A.W. Naue ; 1905 ; p. 49-52 ; F. A. Schaeffer ; 1926 ; p. 34-38 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2022,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2022,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-28,28,Donauberg,Haguenau,Donauberg,FR,Bas-Rhin,7.972803012,48.83674155,1064771.0000096136,6871121.999478763,4326.0,1880,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,A.W. Naue ; 1905 ; p. 120-126 ; F. A. Schaeffer ; 1926 ; p. 64-71 ; 1930 ; p. 19-25 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2023,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2023,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-29,29,Kirchlach,Schirrhein,Kirchlach,FR,Bas-Rhin,7.905376808,48.80581055,1060044.9999993658,6867379.999812763,4326.0,1860-1861,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,M. De Ring ; 1865a ; p. 9-17 ; pl. III-V ; A.W. Naue ; 1905 ; p. 175-200 ; F. A. Schaeffer ; 1926 ; p. 103-120 ; 1930 ; p. 84-93 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2024,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2024,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-30,30,Maegstub - Wiwitzer,Haguenau,Maegstub - Wiwitzer,FR,Bas-Rhin,7.698852627,48.85084746,1044607.0000272801,6871456.999910979,4326.0,1846,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,V. Guerber ; 1860-1861 ; p. 13 ; P.V. du 7 janvier 1861 ; B.S.C.M.H.A. ; 1 ; 4 ; 1861 ; p. 74 ; A.W. Naue ; 1905 ; p. 52-72 ; F. A. Schaeffer ; 1926 ; p. 131-138 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2025,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2025,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-31,31,Maegstub A,Haguenau,Maegstub A,FR,Bas-Rhin,7.698852627,48.85084746,1044607.0000272801,6871456.999910979,4326.0,1846,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,V. Guerber ; 1860-1861 ; p. 13 ; P.V. du 7 janvier 1861 ; B.S.C.M.H.A. ; 1 ; 4 ; 1861 ; p. 74 ; A.W. Naue ; 1905 ; p. 52-72 ; F. A. Schaeffer ; 1926 ; p. 131-138 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2025,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2025,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-32,32,Maegstub B,Haguenau,Maegstub B,FR,Bas-Rhin,7.698852627,48.85084746,1044607.0000272801,6871456.999910979,4326.0,1846,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,V. Guerber ; 1860-1861 ; p. 13 ; P.V. du 7 janvier 1861 ; B.S.C.M.H.A. ; 1 ; 4 ; 1861 ; p. 74 ; A.W. Naue ; 1905 ; p. 52-72 ; F. A. Schaeffer ; 1926 ; p. 131-138 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2025,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2025,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-33,33,Maegstub C,Haguenau,Maegstub C,FR,Bas-Rhin,7.698852627,48.85084746,1044607.0000272801,6871456.999910979,4326.0,1846,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,V. Guerber ; 1860-1861 ; p. 13 ; P.V. du 7 janvier 1861 ; B.S.C.M.H.A. ; 1 ; 4 ; 1861 ; p. 74 ; A.W. Naue ; 1905 ; p. 52-72 ; F. A. Schaeffer ; 1926 ; p. 131-138 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2025,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2025,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-34,34,Maegstub D,Haguenau,Maegstub D,FR,Bas-Rhin,7.698852627,48.85084746,1044607.0000272801,6871456.999910979,4326.0,1846,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,V. Guerber ; 1860-1861 ; p. 13 ; P.V. du 7 janvier 1861 ; B.S.C.M.H.A. ; 1 ; 4 ; 1861 ; p. 74 ; A.W. Naue ; 1905 ; p. 52-72 ; F. A. Schaeffer ; 1926 ; p. 131-138 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2025,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2025,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-35,35,Maegstub E,Haguenau,Maegstub E,FR,Bas-Rhin,7.698852627,48.85084746,1044607.0000272801,6871456.999910979,4326.0,1846,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,V. Guerber ; 1860-1861 ; p. 13 ; P.V. du 7 janvier 1861 ; B.S.C.M.H.A. ; 1 ; 4 ; 1861 ; p. 74 ; A.W. Naue ; 1905 ; p. 52-72 ; F. A. Schaeffer ; 1926 ; p. 131-138 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2025,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2025,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-36,36,Schelmenhofstatt,Haguenau,Schelmenhofstatt,FR,Bas-Rhin,7.697896286678885,48.88616186,1044303.4562021876,6875372.706298391,4326.0,19e siècle,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,F. A. Schaeffer ; 1926 ; p. 9-13 ; 1930 ; p. 9-10 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2026,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2026,reprise récente des données dans PCR Haguenau
